Symbol,Company Name,Industry,Market Cap
PRMW,Primo Water Corporation,Beverages - Non-Alcoholic,2.07B
PRO,PROS Holdings Inc.,Software - Application,1.35B
PROC,Procaps Group S.A.,Drug Manufacturers - Specialty & Generic,496.43M
PROF,Profound Medical Corp.,Medical Devices,282.74M
PROK,ProKidney Corp.,Biotechnology,2.71B
PROV,Provident Financial Holdings Inc.,Banks - Regional,85.04M
PRPC,CC Neuberger Principal Holdings III,Shell Companies,208.74M
PRPH,ProPhase Labs Inc.,Drug Manufacturers - Specialty & Generic,147.43M
PRPL,Purple Innovation Inc.,'''Furnishings, Fixtures & Appliances''',309.94M
PRPO,Precipio Inc.,Diagnostics & Research,14.47M
PRQR,ProQR Therapeutics N.V.,Biotechnology,152.97M
PRSO,Peraso Inc.,Semiconductors,10.54M
PRSR,Prospector Capital Corp.,Shell Companies,107.94M
PRST,Presto Automation Inc.,Software - Application,158.07M
PRT,PermRock Royalty Trust,Oil & Gas E&P,54.26M
PRTA,Prothena Corporation plc,Biotechnology,3.64B
PRTC,PureTech Health plc,Biotechnology,747.17M
PRTG,Portage Biotech Inc.,Biotechnology,63.52M
PRTH,Priority Technology Holdings Inc.,Software - Infrastructure,283.04M
PRTK,Paratek Pharmaceuticals Inc.,Biotechnology,109.98M
PRTS,CarParts.com Inc.,Internet Retail,238.84M
PRU,Prudential Financial Inc.,Insurance - Life,30.31B
PRVA,Privia Health Group Inc.,Health Information Services,2.87B
PSA,Public Storage,REIT - Industrial,50.70B
PSEC,Prospect Capital Corporation,Asset Management,2.52B
PSFE,Paysafe Limited,Information Technology Services,610.22M
PSHG,Performance Shipping Inc.,Marine Shipping,9.18M
PSMT,PriceSmart Inc.,Discount Stores,2.28B
PSN,Parsons Corporation,Specialty Industrial Machinery,4.82B
PSNL,Personalis Inc.,Diagnostics & Research,96.37M
PSNY,Polestar Automotive Holding UK PLC,Auto Manufacturers,6.94B
PSO,Pearson plc,Publishing,7.30B
PSTG,Pure Storage Inc.,Computer Hardware,10.52B
PSTL,Postal Realty Trust Inc.,REIT - Office,371.05M
PSTV,Plus Therapeutics Inc.,Biotechnology,9.80M
PSTX,Poseida Therapeutics Inc.,Biotechnology,210.00M
PSX,Phillips 66,Oil & Gas Refining & Marketing,44.52B
PT,Pintec Technology Holdings Limited,Credit Services,13.56M
PTC,PTC Inc.,Software - Application,16.32B
PTCT,PTC Therapeutics Inc.,Biotechnology,3.27B
PTE,PolarityTE Inc.,Biotechnology,3.02M
PTEN,Patterson-UTI Energy Inc.,Oil & Gas Drilling,2.30B
PTGX,Protagonist Therapeutics Inc.,Biotechnology,1.61B
PTHR,Pono Capital Three Inc.,Shell Companies,114.50M
PTIX,Protagenic Therapeutics Inc.,Biotechnology,8.40M
PTLO,'Portillo''s Inc.',Restaurants,1.14B
PTMN,Portman Ridge Finance Corporation,Asset Management,183.22M
PTN,Palatin Technologies Inc.,Biotechnology,26.85M
PTON,Peloton Interactive Inc.,Leisure,2.97B
PTPI,Petros Pharmaceuticals Inc.,Drug Manufacturers - Specialty & Generic,5.18M
PTRA,Proterra Inc.,Auto Manufacturers,272.97M
PTRS,Partners Bancorp,Banks - Regional,98.38M
PTSI,P.A.M. Transportation Services Inc.,Trucking,599.31M
PTVE,Pactiv Evergreen Inc.,Packaging & Containers,1.28B
PTWO,Pono Capital Two Inc.,Shell Companies,56.05M
PUBM,PubMatic Inc.,Software - Application,943.71M
PUCK,Goal Acquisitions Corp.,Shell Companies,173.38M
PUK,Prudential plc,Insurance - Life,41.79B
PULM,Pulmatrix Inc.,Biotechnology,10.39M
PUMP,ProPetro Holding Corp.,Oil & Gas Equipment & Services,865.38M
PUYI,Puyi Inc.,Asset Management,328.72M
PVBC,Provident Bancorp Inc.,Banks - Regional,141.70M
PVH,PVH Corp.,Apparel Manufacturing,4.87B
PVL,Permianville Royalty Trust,Oil & Gas E&P,82.50M
PW,Power REIT,REIT - Specialty,6.41M
PWFL,PowerFleet Inc.,Communication Equipment,112.96M
PWOD,Penns Woods Bancorp Inc.,Banks - Regional,173.47M
PWP,Perella Weinberg Partners,Capital Markets,703.32M
PWR,Quanta Services Inc.,Engineering & Construction,26.14B
PWSC,PowerSchool Holdings Inc.,Software - Application,3.81B
PWUP,PowerUp Acquisition Corp.,Shell Companies,300.15M
PX,P10 Inc.,Asset Management,1.28B
PXD,Pioneer Natural Resources Company,Oil & Gas E&P,48.07B
PXLW,Pixelworks Inc.,Semiconductors,101.97M
PXMD,PaxMedica Inc.,Biotechnology,19.88M
PXS,Pyxis Tankers Inc.,Marine Shipping,43.63M
PYCR,Paycor HCM Inc.,Software - Application,4.08B
PYPD,PolyPid Ltd.,Biotechnology,16.25M
PYPL,PayPal Holdings Inc.,Credit Services,71.36B
PYR,PyroGenesis Canada Inc.,Specialty Industrial Machinery,144.65M
PYXS,Pyxis Oncology Inc.,Biotechnology,127.38M
PZG,Paramount Gold Nevada Corp.,Gold,14.48M
PZZA,'Papa John''s International Inc.',Restaurants,2.35B
QBTS,D-Wave Quantum Inc.,Computer Hardware,194.58M
QCOM,QUALCOMM Incorporated,Semiconductors,128.80B
QCRH,QCR Holdings Inc.,Banks - Regional,687.28M
QD,Qudian Inc.,Credit Services,368.61M
QDEL,QuidelOrtho Corporation,Medical Instruments & Supplies,5.74B
QDRO,Quadro Acquisition One Corp.,Shell Companies,91.72M
QFIN,360 DigiTech Inc.,Credit Services,2.42B
QFTA,Quantum FinTech Acquisition Corporation,Shell Companies,109.03M
QGEN,Qiagen N.V.,Diagnostics & Research,10.60B
QH,Quhuo Limited,Software - Application,13.45M
QIPT,Quipt Home Medical Corp.,Medical Devices,242.34M
QLGN,Qualigen Therapeutics Inc.,Biotechnology,5.19M
QLI,Qilian International Holding Group Limited,Drug Manufacturers - Specialty & Generic,30.03M
QLYS,Qualys Inc.,Software - Infrastructure,4.80B
QMCO,Quantum Corporation,Computer Hardware,134.68M
QNCX,Quince Therapeutics Inc.,Biotechnology,55.13M
QNRX,Quoin Pharmaceuticals Ltd.,Biotechnology,5.45M
QNST,QuinStreet Inc.,Advertising Agencies,528.73M
QOMO,Qomolangma Acquisition Corp.,Shell Companies,72.06M
QRHC,Quest Resource Holding Corporation,Waste Management,114.20M
QRTEA,Qurate Retail Inc.,Internet Retail,437.78M
QRTEB,Qurate Retail Inc.,Internet Retail,374.21M
QRVO,Qorvo Inc.,Semiconductors,9.68B
QS,QuantumScape Corporation,Auto Parts,2.95B
QSG,QuantaSing Group Ltd,Education & Training Services,1.21B
QSI,Quantum-Si incorporated,Biotechnology,239.13M
QSR,Restaurant Brands International Inc.,Restaurants,34.31B
QTEK,QualTek Services Inc.,Telecom Services,2.09M
QTRX,Quanterix Corporation,Medical Devices,761.64M
QTWO,Q2 Holdings Inc.,Software - Application,1.65B
QUAD,Quad/Graphics Inc.,Specialty Business Services,189.76M
QUBT,Quantum Computing Inc.,Computer Hardware,74.43M
QUIK,QuickLogic Corporation,Semiconductors,81.32M
QUOT,Quotient Technology Inc.,Advertising Agencies,291.02M
QURE,uniQure N.V.,Biotechnology,954.06M
R,Ryder System Inc.,Rental & Leasing Services,3.80B
RACE,Ferrari N.V.,Auto Manufacturers,54.17B
RACY,Relativity Acquisition Corp.,Shell Companies,54.04M
RAD,Rite Aid Corporation,Pharmaceutical Retailers,103.26M
RADI,Radius Global Infrastructure Inc.,Telecom Services,1.47B
RAIL,FreightCar America Inc.,Railroads,51.40M
RAIN,Rain Therapeutics Inc.,Biotechnology,45.82M
RAMP,LiveRamp Holdings Inc.,Software - Infrastructure,1.68B
RAND,Rand Capital Corporation,Asset Management,33.50M
RANI,Rani Therapeutics Holdings Inc.,Biotechnology,227.94M
RAPT,RAPT Therapeutics Inc.,Biotechnology,716.09M
RARE,Ultragenyx Pharmaceutical Inc.,Biotechnology,3.60B
RAVE,RAVE Restaurant Group Inc.,Restaurants,24.20M
RAYA,Erayak Power Solution Group Inc.,Electrical Equipment & Parts,23.03M
RBA,Ritchie Bros. Auctioneers Incorporated,Specialty Business Services,10.01B
RBB,RBB Bancorp,Banks - Regional,222.98M
RBBN,Ribbon Communications Inc.,Telecom Services,498.35M
RBC,RBC Bearings Incorporated,Tools & Accessories,6.05B
RBCAA,Republic Bancorp Inc.,Banks - Regional,879.97M
RBKB,Rhinebeck Bancorp Inc.,Banks - Regional,76.96M
RBLX,Roblox Corporation,Electronic Gaming & Multimedia,24.63B
RBOT,Vicarious Surgical Inc.,Medical Devices,279.17M
RBT,Rubicon Technologies Inc.,Software - Application,72.74M
RC,Ready Capital Corporation,REIT - Mortgage,1.18B
RCAC,Revelstone Capital Acquisition Corp.,Shell Companies,213.06M
RCAT,Red Cat Holdings Inc.,Computer Hardware,52.92M
RCEL,AVITA Medical Inc.,Medical Devices,346.23M
RCFA,RCF Acquisition Corp.,Shell Companies,199.09M
RCI,Rogers Communications Inc.,Telecom Services,23.51B
RCKT,Rocket Pharmaceuticals Inc.,Biotechnology,1.76B
RCKY,Rocky Brands Inc.,Footwear & Accessories,142.30M
RCL,Royal Caribbean Cruises Ltd.,Travel Services,22.05B
RCLF,Rosecliff Acquisition Corp I,Shell Companies,70.62M
RCM,R1 RCM Inc.,Health Information Services,7.03B
RCMT,RCM Technologies Inc.,Conglomerates,141.24M
RCON,Recon Technology Ltd.,Oil & Gas Equipment & Services,17.81M
RCRT,Recruiter.com Group Inc.,Staffing & Employment Services,3.19M
RCUS,Arcus Biosciences Inc.,Biotechnology,1.54B
RDCM,RADCOM Ltd.,Telecom Services,146.57M
RDFN,Redfin Corporation,Real Estate Services,1.18B
RDHL,RedHill Biopharma Ltd.,Drug Manufacturers - Specialty & Generic,6.28M
RDI,Reading International Inc.,Entertainment,91.99M
RDIB,Reading International Inc.,Entertainment,99.13M
RDN,Radian Group Inc.,Insurance - Specialty,4.09B
RDNT,RadNet Inc.,Diagnostics & Research,1.77B
RDVT,Red Violet Inc.,Software - Application,287.53M
RDW,Redwire Corporation,Aerospace & Defense,159.42M
RDWR,Radware Ltd.,Software - Infrastructure,861.06M
RDY,'Dr. Reddy''s Laboratories Limited',Drug Manufacturers - Specialty & Generic,9.42B
RE,Everest Re Group Ltd.,Insurance - Reinsurance,14.90B
REAL,The RealReal Inc.,Luxury Goods,147.26M
REAX,The Real Brokerage Inc.,Real Estate Services,228.77M
REBN,Reborn Coffee Inc.,Restaurants,11.32M
REE,REE Automotive Ltd.,Recreational Vehicles,93.05M
REFI,Chicago Atlantic Real Estate Finance Inc.,REIT - Mortgage,269.88M
REFR,Research Frontiers Incorporated,Electronic Components,57.30M
REG,Regency Centers Corporation,REIT - Retail,9.96B
REGN,Regeneron Pharmaceuticals Inc.,Biotechnology,79.83B
REI,Ring Energy Inc.,Oil & Gas E&P,353.21M
REKR,Rekor Systems Inc.,Software - Infrastructure,100.13M
RELI,Reliance Global Group Inc.,Insurance Brokers,7.40M
RELL,Richardson Electronics Ltd.,Electronic Components,236.80M
RELX,RELX PLC,Publishing,60.98B
RELY,Remitly Global Inc.,Software - Infrastructure,3.41B
RENE,Cartesian Growth Corporation II,Shell Companies,305.32M
RENN,Renren Inc.,Software - Application,21.72M
RENT,Rent the Runway Inc.,Apparel Retail,141.72M
REPL,Replimune Group Inc.,Biotechnology,1.10B
REPX,Riley Exploration Permian Inc.,Oil & Gas E&P,721.51M
RERE,ATRenew Inc.,Internet Retail,665.13M
RES,RPC Inc.,Oil & Gas Equipment & Services,1.59B
RETA,Reata Pharmaceuticals Inc.,Biotechnology,3.49B
RETO,ReTo Eco-Solutions Inc.,Building Materials,8.01M
REUN,Reunion Neuroscience Inc.,Biotechnology,12.81M
REVB,Revelation Biosciences Inc.,Biotechnology,6.17M
REVG,REV Group Inc.,Farm & Heavy Construction Machinery,662.34M
REX,REX American Resources Corporation,Specialty Chemicals,597.00M
REXR,Rexford Industrial Realty Inc.,REIT - Industrial,10.91B
REYN,Reynolds Consumer Products Inc.,Packaging & Containers,5.89B
REZI,Resideo Technologies Inc.,Security & Protection Services,2.51B
RF,Regions Financial Corporation,Banks - Regional,16.95B
RFAC,RF Acquisition Corp.,Shell Companies,74.78M
RFIL,RF Industries Ltd.,Electrical Equipment & Parts,46.21M
RFL,Rafael Holdings Inc.,Real Estate Services,55.19M
RGA,Reinsurance Group of America Incorporated,Insurance - Reinsurance,9.69B
RGC,Regencell Bioscience Holdings Limited,Drug Manufacturers - Specialty & Generic,292.79M
RGCO,RGC Resources Inc.,Utilities - Regulated Gas,211.99M
RGEN,Repligen Corporation,Medical Instruments & Supplies,9.31B
RGF,The Real Good Food Company Inc.,Packaged Foods,91.58M
RGLD,Royal Gold Inc.,Gold,8.11B
RGLS,Regulus Therapeutics Inc.,Biotechnology,25.32M
RGNX,REGENXBIO Inc.,Biotechnology,857.15M
RGP,Resources Connection Inc.,Consulting Services,543.78M
RGR,Sturm Ruger & Company Inc.,Aerospace & Defense,935.87M
RGS,Regis Corporation,Personal Services,50.12M
RGTI,Rigetti Computing Inc.,Computer Hardware,113.98M
RH,RH,Specialty Retail,5.56B
RHE,Regional Health Properties Inc.,Medical Care Facilities,5.71M
RHI,Robert Half International Inc.,Staffing & Employment Services,7.53B
RHP,Ryman Hospitality Properties Inc.,REIT - Hotel & Motel,5.43B
RIBT,RiceBran Technologies,Packaged Foods,5.45M
RICK,RCI Hospitality Holdings Inc.,Restaurants,721.88M
RIDE,Lordstown Motors Corp.,Auto Manufacturers,54.08M
RIG,Transocean Ltd.,Oil & Gas Drilling,5.04B
RIGL,Rigel Pharmaceuticals Inc.,Biotechnology,243.13M
RILY,B. Riley Financial Inc.,Financial Conglomerates,1.06B
RIO,Rio Tinto Group,Other Industrial Metals & Mining,102.47B
RIOT,Riot Blockchain Inc.,Software - Application,2.05B
RITM,Rithm Capital Corp.,REIT - Mortgage,4.15B
RIVN,Rivian Automotive Inc.,Auto Manufacturers,13.49B
RJAC,Jackson Acquisition Company,Shell Companies,288.69M
RJF,Raymond James Financial Inc.,Capital Markets,19.99B
RKDA,Arcadia Biosciences Inc.,Agricultural Inputs,4.70M
RKLB,Rocket Lab USA Inc.,Aerospace & Defense,2.35B
RKT,Rocket Companies Inc.,Mortgage Finance,16.45B
RL,Ralph Lauren Corporation,Apparel Manufacturing,7.36B
RLAY,Relay Therapeutics Inc.,Biotechnology,1.39B
RLGT,Radiant Logistics Inc.,Integrated Freight & Logistics,306.89M
RLI,RLI Corp.,Insurance - Property & Casualty,5.82B
RLJ,RLJ Lodging Trust,REIT - Hotel & Motel,1.74B
RLMD,Relmada Therapeutics Inc.,Biotechnology,85.18M
RLX,RLX Technology Inc.,Tobacco,2.81B
RLYB,Rallybio Corporation,Biotechnology,301.98M
RM,Regional Management Corp.,Credit Services,262.88M
RMAX,RE/MAX Holdings Inc.,Real Estate Services,582.68M
RMBI,Richmond Mutual Bancorporation Inc.,Banks - Regional,132.19M
RMBL,RumbleON Inc.,Auto & Truck Dealerships,200.46M
RMBS,Rambus Inc.,Semiconductors,6.95B
RMCF,Rocky Mountain Chocolate Factory Inc.,Confectioners,31.75M
RMD,ResMed Inc.,Medical Instruments & Supplies,32.42B
RMED,Ra Medical Systems Inc.,Medical Devices,5.64M
RMGC,RMG Acquisition Corp. III,Shell Companies,668.35M
RMNI,Rimini Street Inc.,Software - Application,381.44M
RMR,The RMR Group Inc.,Real Estate Services,371.12M
RMTI,Rockwell Medical Inc.,Drug Manufacturers - Specialty & Generic,58.00M
RNA,Avidity Biosciences Inc.,Biotechnology,789.63M
RNAZ,TransCode Therapeutics Inc.,Biotechnology,3.36M
RNG,RingCentral Inc.,Software - Application,3.37B
RNGR,Ranger Energy Services Inc.,Oil & Gas Equipment & Services,286.85M
RNLX,Renalytix Plc,Health Information Services,111.60M
RNR,RenaissanceRe Holdings Ltd.,Insurance - Reinsurance,9.74B
RNST,Renasant Corporation,Banks - Regional,1.62B
RNW,ReNew Energy Global Plc,Utilities - Renewable,2.13B
RNXT,RenovoRx Inc.,Biotechnology,21.07M
ROAD,Construction Partners Inc.,Engineering & Construction,1.59B
ROC,ROC Energy Acquisition Corp.,Shell Companies,183.39M
ROCC,Ranger Oil Corporation,Oil & Gas E&P,746.85M
ROCK,Gibraltar Industries Inc.,Building Products & Equipment,1.73B
ROCL,Roth Ch Acquisition V Co.,Shell Companies,153.93M
ROG,Rogers Corporation,Electronic Components,2.92B
ROIC,Retail Opportunity Investments Corp.,REIT - Retail,1.60B
ROIV,Roivant Sciences Ltd.,Biotechnology,7.16B
ROK,Rockwell Automation Inc.,Specialty Industrial Machinery,33.64B
ROKU,Roku Inc.,Entertainment,8.47B
ROL,Rollins Inc.,Personal Services,20.02B
RONI,Rice Acquisition Corp. II,Shell Companies,445.94M
ROOT,Root Inc.,Insurance - Property & Casualty,71.21M
ROP,Roper Technologies Inc.,Specialty Industrial Machinery,48.91B
ROSE,Rose Hill Acquisition Corporation,Shell Companies,56.90M
ROSS,Ross Acquisition Corp II,Shell Companies,156.51M
ROST,Ross Stores Inc.,Apparel Retail,35.33B
ROVR,Rover Group Inc.,Personal Services,856.62M
RPAY,Repay Holdings Corporation,Software - Infrastructure,617.69M
RPD,Rapid7 Inc.,Software - Infrastructure,2.93B
RPHM,Reneo Pharmaceuticals Inc.,Biotechnology,275.30M
RPID,Rapid Micro Biosystems Inc.,Medical Devices,43.17M
RPM,RPM International Inc.,Specialty Chemicals,10.79B
RPRX,Royalty Pharma plc,Biotechnology,14.98B
RPT,RPT Realty,REIT - Retail,844.32M
RPTX,Repare Therapeutics Inc.,Biotechnology,480.65M
RRAC,Rigel Resource Acquisition Corp.,Shell Companies,399.37M
RRBI,Red River Bancshares Inc.,Banks - Regional,372.21M
RRC,Range Resources Corporation,Oil & Gas E&P,6.78B
RRGB,Red Robin Gourmet Burgers Inc.,Restaurants,206.83M
RRR,Red Rock Resorts Inc.,Resorts & Casinos,2.74B
RRX,Regal Rexnord Corporation,Specialty Industrial Machinery,9.28B
RS,Reliance Steel & Aluminum Co.,Steel,14.21B
RSG,Republic Services Inc.,Waste Management,45.70B
RSI,Rush Street Interactive Inc.,Gambling,709.73M
RSKD,Riskified Ltd.,Software - Application,844.77M
RSLS,ReShape Lifesciences Inc.,Medical Devices,7.41M
RSSS,Research Solutions Inc.,Software - Application,61.95M
RSVR,Reservoir Media Inc.,Entertainment,422.08M
RTC,Baijiayun Group Ltd,Software - Application,665.26M
RTL,The Necessity Retail REIT Inc.,REIT - Diversified,920.23M
RTO,Rentokil Initial plc,Specialty Business Services,20.46B
RTX,Raytheon Technologies Corporation,Aerospace & Defense,140.39B
RUM,Rumble Inc.,Software - Application,2.79B
RUN,Sunrun Inc.,Solar,4.03B
RUSHA,Rush Enterprises Inc.,Auto & Truck Dealerships,3.09B
RUSHB,Rush Enterprises Inc.,Auto & Truck Dealerships,3.05B
RUTH,'Ruth''s Hospitality Group Inc.',Restaurants,689.57M
RVLP,RVL Pharmaceuticals plc,Biotechnology,87.43M
RVLV,Revolve Group Inc.,Internet Retail,1.21B
RVMD,Revolution Medicines Inc.,Biotechnology,2.72B
RVNC,Revance Therapeutics Inc.,Biotechnology,2.61B
RVP,Retractable Technologies Inc.,Medical Instruments & Supplies,32.93M
RVPH,Reviva Pharmaceuticals Holdings Inc.,Biotechnology,139.90M
RVSB,Riverview Bancorp Inc.,Banks - Regional,97.41M
RVSN,Rail Vision Ltd.,Railroads,12.23M
RVTY,Revvity Inc.,Diagnostics & Research,14.45B
RVYL,Ryvyl Inc.,Software - Infrastructure,38.09M
RWAY,Runway Growth Finance Corp.,Credit Services,478.82M
RWLK,ReWalk Robotics Ltd.,Medical Devices,35.50M
RWOD,Redwoods Acquisition Corp.,Shell Companies,91.85M
RWT,Redwood Trust Inc.,REIT - Mortgage,719.52M
RXDX,Prometheus Biosciences Inc.,Biotechnology,9.51B
RXO,RXO Inc.,Trucking,2.57B
RXRX,Recursion Pharmaceuticals Inc.,Biotechnology,1.58B
RXST,RxSight Inc.,Medical Devices,884.55M
RXT,Rackspace Technology Inc.,Software - Infrastructure,378.54M
RY,Royal Bank of Canada,Banks - Diversified,128.45B
RYAAY,Ryanair Holdings plc,Airlines,24.35B
RYAM,Rayonier Advanced Materials Inc.,Chemicals,244.19M
RYAN,Ryan Specialty Holdings Inc.,Insurance - Specialty,10.88B
RYI,Ryerson Holding Corporation,Metal Fabrication,1.31B
RYN,Rayonier Inc.,REIT - Specialty,4.44B
RYTM,Rhythm Pharmaceuticals Inc.,Biotechnology,1.01B
RZLT,Rezolute Inc.,Biotechnology,75.86M
S,SentinelOne Inc.,Software - Infrastructure,3.91B
SA,Seabridge Gold Inc.,Gold,1.15B
SABR,Sabre Corporation,Travel Services,1.15B
SABS,SAB Biotherapeutics Inc.,Biotechnology,46.19M
SACH,Sachem Capital Corp.,REIT - Mortgage,140.02M
SAFE,Safehold Inc.,REIT - Diversified,1.71B
SAFT,Safety Insurance Group Inc.,Insurance - Property & Casualty,1.11B
SAGA,Sagaliam Acquisition Corp.,Shell Companies,47.94M
SAGE,Sage Therapeutics Inc.,Biotechnology,2.98B
SAH,Sonic Automotive Inc.,Auto & Truck Dealerships,1.54B
SAI,SAI.TECH Global Corporation,Capital Markets,32.35M
SAIA,Saia Inc.,Trucking,8.04B
SAIC,Science Applications International Corporation,Information Technology Services,5.48B
SAL,Salisbury Bancorp Inc.,Banks - Regional,148.08M
SALM,Salem Media Group Inc.,Broadcasting,26.13M
SAM,The Boston Beer Company Inc.,Beverages - Brewers,4.20B
SAMA,Schultze Special Purpose Acquisition Corp. II,Shell Companies,137.05M
SAMG,Silvercrest Asset Management Group Inc.,Asset Management,194.49M
SAN,Banco Santander S.A.,Banks - Diversified,55.65B
SANA,Sana Biotechnology Inc.,Biotechnology,1.23B
SAND,Sandstorm Gold Ltd.,Gold,1.62B
SANG,Sangoma Technologies Corporation,Software - Infrastructure,124.55M
SANM,Sanmina Corporation,Electronic Components,3.15B
SANW,S&W Seed Company,Farm Products,48.12M
SAP,SAP SE,Software - Application,155.19B
SAR,Saratoga Investment Corp.,Asset Management,331.40M
SASI,Sigma Labs Inc.,Information Technology Services,3.76M
SASR,Sandy Spring Bancorp Inc.,Banks - Regional,1.05B
SATL,Satellogic Inc.,Scientific & Technical Instruments,178.72M
SATS,EchoStar Corporation,Communication Equipment,1.38B
SATX,Satixfy Communications Ltd.,Communication Equipment,35.96M
SAVA,Cassava Sciences Inc.,Biotechnology,969.84M
SAVE,Spirit Airlines Inc.,Airlines,1.68B
SB,Safe Bulkers Inc.,Marine Shipping,387.77M
SBAC,SBA Communications Corporation,REIT - Specialty,24.45B
SBCF,Seacoast Banking Corporation of Florida,Banks - Regional,1.90B
SBET,SharpLink Gaming Ltd.,Gambling,8.31M
SBEV,Splash Beverage Group Inc.,Beverages - Brewers,44.37M
SBFG,SB Financial Group Inc.,Banks - Regional,86.66M
SBFM,Sunshine Biopharma Inc.,Drug Manufacturers - Specialty & Generic,16.35M
SBGI,Sinclair Broadcast Group Inc.,Entertainment,935.50M
SBH,Sally Beauty Holdings Inc.,Specialty Retail,1.28B
SBIG,SpringBig Holdings Inc.,Software - Application,9.97M
SBLK,Star Bulk Carriers Corp.,Marine Shipping,1.92B
SBOW,SilverBow Resources Inc.,Oil & Gas E&P,583.28M
SBR,Sabine Royalty Trust,Oil & Gas E&P,1.04B
SBRA,Sabra Health Care REIT Inc.,REIT - Healthcare Facilities,2.62B
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities - Regulated Water,7.35B
SBSI,Southside Bancshares Inc.,Banks - Regional,877.03M
SBSW,Sibanye Stillwater Limited,Gold,5.17B
SBT,Sterling Bancorp Inc. (Southfield MI),Banks - Regional,251.93M
SBUX,Starbucks Corporation,Restaurants,114.07B
SBXC,SilverBox Corp III,Shell Companies,80.10M
SCAQ,Stratim Cloud Acquisition Corp.,Shell Companies,128.68M
SCCO,Southern Copper Corporation,Copper,54.84B
SCHL,Scholastic Corporation,Publishing,1.45B
SCHN,Schnitzer Steel Industries Inc.,Steel,834.28M
SCHW,The Charles Schwab Corporation,Capital Markets,96.19B
SCI,Service Corporation International,Personal Services,9.90B
SCKT,Socket Mobile Inc.,Computer Hardware,10.34M
SCL,Stepan Company,Specialty Chemicals,2.19B
SCLX,Scilex Holding Company,Drug Manufacturers - General,938.99M
SCM,Stellus Capital Investment Corporation,Asset Management,290.03M
SCOR,comScore Inc.,Internet Content & Information,82.28M
SCPH,scPharmaceuticals Inc.,Biotechnology,393.46M
SCPL,SciPlay Corporation,Electronic Gaming & Multimedia,411.47M
SCRM,Screaming Eagle Acquisition Corp.,Shell Companies,961.88M
SCS,Steelcase Inc.,Business Equipment & Supplies,782.86M
SCSC,ScanSource Inc.,Electronics & Computer Distribution,740.52M
SCTL,Societal CDMO Inc.,Drug Manufacturers - Specialty & Generic,61.14M
SCU,Sculptor Capital Management Inc.,Asset Management,228.99M
SCUA,Sculptor Acquisition Corp I,Shell Companies,302.16M
SCVL,Shoe Carnival Inc.,Apparel Retail,569.95M
SCWO,374Water Inc.,Pollution & Treatment Controls,393.54M
SCWX,SecureWorks Corp.,Software - Infrastructure,720.08M
SCX,The L.S. Starrett Company,Tools & Accessories,77.55M
SCYX,SCYNEXIS Inc.,Drug Manufacturers - Specialty & Generic,90.93M
SD,SandRidge Energy Inc.,Oil & Gas E&P,539.50M
SDA,SunCar Technology Group Inc.,Auto & Truck Dealerships,1.94B
SDAC,Sustainable Development Acquisition I Corp.,Shell Companies,102.97M
SDC,SmileDirectClub Inc.,Medical Instruments & Supplies,155.24M
SDGR,Schrödinger Inc.,Health Information Services,2.55B
SDIG,Stronghold Digital Mining Inc.,Capital Markets,30.53M
SDPI,Superior Drilling Products Inc.,Oil & Gas Equipment & Services,32.17M
SDRL,Seadrill Limited,Oil & Gas Drilling,3.02B
SE,Sea Limited,Internet Retail,33.66B
SEAC,SeaChange International Inc.,Software - Application,20.98M
SEAS,SeaWorld Entertainment Inc.,Leisure,3.74B
SEAT,Vivid Seats Inc.,Internet Content & Information,1.45B
SEB,Seaboard Corporation,Conglomerates,4.38B
SECO,Secoo Holding Limited,Internet Retail,5.65M
SEDA,SDCL EDGE Acquisition Corporation,Shell Companies,259.69M
SEDG,SolarEdge Technologies Inc.,Solar,16.40B
SEE,Sealed Air Corporation,Packaging & Containers,5.74B
SEED,Origin Agritech Limited,Agricultural Inputs,32.49M
SEEL,Seelos Therapeutics Inc.,Biotechnology,114.64M
SEER,Seer Inc.,Biotechnology,259.43M
SEIC,SEI Investments Company,Asset Management,7.80B
SELB,Selecta Biosciences Inc.,Biotechnology,196.39M
SELF,Global Self Storage Inc.,REIT - Industrial,55.71M
SEM,Select Medical Holdings Corporation,Medical Care Facilities,3.62B
SEMR,Semrush Holdings Inc.,Software - Application,1.13B
SENEA,Seneca Foods Corporation,Packaged Foods,364.65M
SENEB,Seneca Foods Corporation,Packaged Foods,349.76M
SENS,Senseonics Holdings Inc.,Medical Devices,355.11M
SEPA,SEP Acquisition Corp.,Shell Companies,57.86M
SERA,Sera Prognostics Inc.,Diagnostics & Research,100.92M
SES,SES AI Corporation,Auto Parts,661.51M
SEV,Sono Group N.V.,Auto Manufacturers,16.28M
SEVN,Seven Hills Realty Trust,REIT - Mortgage,138.24M
SF,Stifel Financial Corp.,Capital Markets,6.22B
SFBC,Sound Financial Bancorp Inc.,Banks - Regional,94.65M
SFBS,ServisFirst Bancshares Inc.,Banks - Regional,2.45B
SFE,Safeguard Scientifics Inc.,Asset Management,30.82M
SFIX,Stitch Fix Inc.,Apparel Retail,442.15M
SFL,SFL Corporation Ltd.,Marine Shipping,1.14B
SFM,Sprouts Farmers Market Inc.,Grocery Stores,3.41B
SFNC,Simmons First National Corporation,Banks - Regional,2.28B
